team_id,team,club,primary_league,grade,division,matches,rr_matches,ppg,gf_per_match,ga_per_match,gd_per_match,ladder_pos,ladder_teams,players_used,borrowed_in_apps,borrowed_in_players,gf,ga
2Kpv3r39mY,Adelaide Cobras FC Under 18's SL1,Adelaide Cobras FC,HPG Homes State League 1 Under 18's,U18,SL1,22,22,1.0,2.05,3.09,-1.05,8,12,31,55,12,45,68
1K3Ya6vRmQ,Adelaide Atletico VSC Under 18's SL1,Adelaide Atletico VSC,HPG Homes State League 1 Under 18's,U18,SL1,22,22,0.95,1.77,2.77,-1.0,9,12,24,12,5,39,61
lNb3nvaDKx,Eastern United Under 18's SL1,Eastern United,HPG Homes State League 1 Under 18's,U18,SL1,22,22,0.77,1.59,4.09,-2.5,10,12,31,57,8,35,90
ld4Oa6wAKW,Cove FC Under 18's SL1,Cove FC,HPG Homes State League 1 Under 18's,U18,SL1,22,22,0.68,1.23,2.23,-1.0,11,12,27,37,10,27,49
1K3YarwOmQ,Salisbury United Under 18's SL1,Salisbury United,HPG Homes State League 1 Under 18's,U18,SL1,22,22,0.36,1.32,3.23,-1.91,12,12,37,72,18,29,71
vmZwqYkRNq,Pontian Eagles Men's Reserves SL2,Pontian Eagles,HPG Homes State League 2 North - Reserves,RES,SL2,21,18,2.61,3.28,0.83,2.44,1,10,35,141,20,68,16
EN2OazROKq,Port Adelaide Men's Reserves SL2,Port Adelaide,HPG Homes State League 2 North - Reserves,RES,SL2,22,18,2.28,3.78,1.22,2.56,2,10,34,74,16,78,27
emA126jgmB,Modbury Vista Men's Reserves SL2,Modbury Vista,HPG Homes State League 2 North - Reserves,RES,SL2,21,18,1.67,3.11,1.61,1.5,3,10,37,164,27,57,36
Ome0kzEGd0,Elizabeth Grove Men's Reserves SL2,Elizabeth Grove,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.67,2.22,2.11,0.11,4,10,39,142,27,40,38
lNbj0pqyNx,Elizabeth Downs Soccer Club Men's Reserves SL2,Elizabeth Downs Soccer Club,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.33,2.33,1.94,0.39,5,10,37,165,26,42,35
PmjnVGxQmZ,Gawler Eagles Men's Reserves SL2,Gawler Eagles,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.22,1.61,2.39,-0.78,6,10,34,67,19,29,43
PmrkxOe5No,Northern Demons Men's Reserves SL2,Northern Demons,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.17,1.72,1.89,-0.17,7,10,40,109,29,31,34
4KLnq4B2mq,Salisbury Inter Men's Reserves SL2,Salisbury Inter,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.17,1.39,2.0,-0.61,8,10,31,120,22,25,36
MNGxQvVXKA,Angle Vale Men's Reserves SL2,Angle Vale,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,1.11,1.61,2.89,-1.28,9,10,36,114,24,29,52
2KpvY62WmY,Barossa United Men's Reserves SL2,Barossa United,HPG Homes State League 2 North - Reserves,RES,SL2,18,18,0.11,1.0,5.17,-4.17,10,10,29,127,18,18,93
BdD1qZrxmb,Vipers FC Men's Reserves SL2,Vipers FC,HPG Homes State League 2 South - Reserves,RES,SL2,20,18,2.56,3.89,1.0,2.89,1,10,40,80,22,71,21
2Kpv3ozqmY,Western Strikers Men's Reserves SL2,Western Strikers,HPG Homes State League 2 South - Reserves,RES,SL2,19,18,2.5,2.83,0.83,2.0,2,10,31,70,16,51,16
1K3Ya6lYmQ,Noarlunga United Men's Reserves SL2,Noarlunga United,HPG Homes State League 2 South - Reserves,RES,SL2,19,18,2.22,2.56,1.61,0.94,3,10,30,59,14,48,35
bd9XawzRK4,Mount Barker United Men's Reserves SL2,Mount Barker United,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,1.83,2.72,2.28,0.44,4,10,43,114,29,49,41
BdD1qXkgmb,Adelaide Hills Hawks Men's Reserves SL2,Adelaide Hills Hawks,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,1.5,2.22,2.39,-0.17,5,10,43,125,30,40,43
MNGoqzQENA,Adelaide University Men's Reserves SL2,Adelaide University,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,1.17,1.89,2.28,-0.39,6,10,33,106,18,34,41
EN2nvPa3Nq,Plympton FC Men's Reserves SL2,Plympton FC,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,1.17,1.22,2.39,-1.17,7,10,41,140,31,22,43
am1qa7lAmw,Adelaide Titans Football Club Men's Reserves SL2,Adelaide Titans Football Club,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,0.72,1.22,2.28,-1.06,8,10,33,61,17,22,41
jdyegzo6d5,Seaford Rangers Men's Reserves SL2,Seaford Rangers,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,0.56,1.56,3.89,-2.33,9,10,32,65,16,28,70
8NODqO6BKZ,Ghan United Men's Reserves SL2,Ghan United,HPG Homes State League 2 South - Reserves,RES,SL2,18,18,0.44,1.11,2.28,-1.17,10,10,42,70,16,20,41
8NODqEqkKZ,Pontian Eagles Senior Men's SL2,Pontian Eagles,HPG Homes State League 2 North,SEN,SL2,19,18,2.28,2.83,1.06,1.78,1,10,26,20,3,52,19
8NODqOo2KZ,Salisbury Inter Senior Men's SL2,Salisbury Inter,HPG Homes State League 2 North,SEN,SL2,20,18,2.17,1.94,1.11,0.83,2,10,22,1,1,38,26
lNb3n7JgKx,Modbury Vista Senior Men's SL2,Modbury Vista,HPG Homes State League 2 North,SEN,SL2,22,18,2.11,3.56,1.17,2.39,3,10,24,11,2,74,24
vmZ9lvE2dq,Elizabeth Downs Soccer Club Senior Men's SL2,Elizabeth Downs Soccer Club,HPG Homes State League 2 North,SEN,SL2,21,18,1.72,2.28,1.72,0.56,4,10,25,34,5,48,42
gdMvqkyOmE,Northern Demons Senior Men's SL2,Northern Demons,HPG Homes State League 2 North,SEN,SL2,18,18,1.61,1.89,1.5,0.39,5,10,30,28,7,34,27
jmaVQgyVNR,Port Adelaide Senior Men's SL2,Port Adelaide,HPG Homes State League 2 North,SEN,SL2,18,18,1.22,1.17,1.94,-0.78,6,10,27,29,5,21,35
am1QPnyqmw,Angle Vale Senior Men's SL2,Angle Vale,HPG Homes State League 2 North,SEN,SL2,18,18,0.94,1.22,2.44,-1.22,7,10,35,7,4,22,44
vmZwqxpRNq,Gawler Eagles Senior Men's SL2,Gawler Eagles,HPG Homes State League 2 North,SEN,SL2,18,18,0.89,1.28,2.11,-0.83,8,10,30,10,4,23,38
nmYyqoVpmz,Elizabeth Grove Senior Men's SL2,Elizabeth Grove,HPG Homes State League 2 North,SEN,SL2,18,18,0.78,1.0,1.94,-0.94,9,10,30,93,14,18,35
pN6OWJnnK0,Barossa United Senior Men's SL2,Barossa United,HPG Homes State League 2 North,SEN,SL2,18,18,0.33,1.11,3.28,-2.17,10,10,24,7,2,20,59
lNb3nlepKx,Vipers FC Senior Men's SL2,Vipers FC,HPG Homes State League 2 South,SEN,SL2,20,18,2.22,1.94,1.06,0.89,1,10,30,29,8,35,22
pmvzB9X6mv,Ghan United Senior Men's SL2,Ghan United,HPG Homes State League 2 South,SEN,SL2,20,18,2.17,2.44,1.5,0.94,2,10,27,22,2,49,32
pmvzB9Prmv,Seaford Rangers Senior Men's SL2,Seaford Rangers,HPG Homes State League 2 South,SEN,SL2,20,18,2.11,2.78,1.44,1.33,3,10,22,0,0,52,29
bd9XabEDK4,Western Strikers Senior Men's SL2,Western Strikers,HPG Homes State League 2 South,SEN,SL2,22,18,2.0,3.28,2.06,1.22,4,10,26,28,3,72,47
jdyeg09Ad5,Adelaide University Senior Men's SL2,Adelaide University,HPG Homes State League 2 South,SEN,SL2,18,18,1.83,2.61,1.22,1.39,5,10,28,8,1,47,22
ld4OaZlpKW,Noarlunga United Senior Men's SL2,Noarlunga United,HPG Homes State League 2 South,SEN,SL2,18,18,1.5,1.83,1.22,0.61,6,10,25,4,3,33,22
nmYyqoQrmz,Adelaide Titans Football Club Senior Men's SL2,Adelaide Titans Football Club,HPG Homes State League 2 South,SEN,SL2,18,18,1.06,1.5,2.0,-0.5,7,10,26,11,4,27,36
1K3Ya0L3mQ,Adelaide Hills Hawks Senior Men's SL2,Adelaide Hills Hawks,HPG Homes State League 2 South,SEN,SL2,18,18,0.67,1.78,2.67,-0.89,8,10,28,24,7,32,48
MNGoqGnbNA,Mount Barker United Senior Men's SL2,Mount Barker United,HPG Homes State League 2 South,SEN,SL2,18,18,0.61,1.17,3.33,-2.17,9,10,31,17,4,21,60
Pmrq5JxRdo,Plympton FC Senior Men's SL2,Plympton FC,HPG Homes State League 2 South,SEN,SL2,18,18,0.5,1.11,3.94,-2.83,10,10,34,34,10,20,71
Ome0kl07d0,Modbury Vista Under 18's SL2,Modbury Vista,HPG Homes State League 2 North - Under 18's,U18,SL2,20,18,2.89,6.78,0.72,6.06,1,10,22,66,9,126,17
bd9XawWeK4,Salisbury Inter Under 18's SL2,Salisbury Inter,HPG Homes State League 2 North - Under 18's,U18,SL2,21,18,2.44,4.44,1.33,3.11,2,10,29,27,11,82,27
pN6OaMOnK0,Port Adelaide Under 18's SL2,Port Adelaide,HPG Homes State League 2 North - Under 18's,U18,SL2,19,18,2.06,3.11,1.67,1.44,3,10,28,92,14,57,32
gdMEOX7bdE,Elizabeth Downs Soccer Club Under 18's SL2,Elizabeth Downs Soccer Club,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,2.0,3.78,1.33,2.44,4,10,21,15,5,68,24
2Kpv3ovWmY,Elizabeth Grove Under 18's SL2,Elizabeth Grove,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,1.5,2.83,3.06,-0.22,5,10,29,40,13,51,55
pmvzBJe5mv,Pontian Eagles Under 18's SL2,Pontian Eagles,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,1.17,2.44,2.5,-0.06,6,10,21,58,5,44,45
4KLnqon7mq,Northern Demons Under 18's SL2,Northern Demons,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,1.17,2.67,3.0,-0.33,7,10,22,27,6,48,54
8NODqbD1KZ,Gawler Eagles Under 18's SL2,Gawler Eagles,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,0.56,1.28,4.5,-3.22,8,10,23,75,11,23,81
BdD1lzexmb,Barossa United Under 18's SL2,Barossa United,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,0.5,2.17,5.11,-2.94,9,10,27,54,11,39,92
ld44kpP2dW,Angle Vale Under 18's SL2,Angle Vale,HPG Homes State League 2 North - Under 18's,U18,SL2,18,18,0.28,0.89,7.17,-6.28,10,10,32,46,13,16,129
am1qagw6mw,Vipers FC Under 18's SL2,Vipers FC,HPG Homes State League 2 South - Under 18's,U18,SL2,21,18,2.67,4.56,1.17,3.39,1,10,30,76,16,87,24
ld4OaEYxKW,Adelaide Hills Hawks Under 18's SL2,Adelaide Hills Hawks,HPG Homes State League 2 South - Under 18's,U18,SL2,22,18,2.28,3.72,1.28,2.44,2,10,20,3,1,75,31
MNGoqzW2NA,Western Strikers Under 18's SL2,Western Strikers,HPG Homes State League 2 South - Under 18's,U18,SL2,19,18,2.11,3.33,1.5,1.83,3,10,33,74,18,61,28
pmvzBL0Lmv,Seaford Rangers Under 18's SL2,Seaford Rangers,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,2.0,3.28,1.39,1.89,4,10,20,36,4,59,25
8NOXko2aKZ,Plympton FC Under 18's SL2,Plympton FC,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,1.89,2.72,1.22,1.5,5,10,26,19,6,49,22
vmZwqMJJNq,Adelaide University Under 18's SL2,Adelaide University,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,1.5,2.44,2.06,0.39,6,10,26,28,10,44,37
jmaVQnpYNR,Noarlunga United Under 18's SL2,Noarlunga United,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,0.72,1.22,2.89,-1.67,7,10,30,70,14,22,52
nmYyqPJbmz,Adelaide Titans Football Club Under 18's SL2,Adelaide Titans Football Club,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,0.61,1.33,3.89,-2.56,8,10,31,43,13,24,70
BdD1qX9xmb,Ghan United Under 18's SL2,Ghan United,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,0.5,1.44,4.61,-3.17,9,10,26,116,12,26,83
gdMvqxbQmE,Mount Barker United Under 18's SL2,Mount Barker United,HPG Homes State League 2 South - Under 18's,U18,SL2,18,18,0.33,1.28,5.33,-4.06,10,10,23,45,10,23,96
